Model_ID	Type	Subtype	Resfam Family name	Description	ARO Identifiers	HMM Source	Antibiotic Classification (Resfam Only)Mechanism Classification	Ressistance Mechanism	
PF04655.12	aminoglycoside	APH_6_hur	APH_6_hur	Aminoglycoside/hydroxyurea antibiotic resistance kinase	PF04655.12	Pfam		Other	
RF0002	aminoglycoside	AAC3	AAC3	Aminoglycoside Acetyltransferase (AAC3)	ARO:3000104;ARO:3000322	Resfam	Aminoglycoside Modifying Enzyme	Acetyltransferase	
RF0003	aminoglycoside	AAC3-I	AAC3-I	Aminoglycoside Acetyltransferase (AAC3-I)	ARO:3000104;ARO:3001205	Resfam	Aminoglycoside Modifying Enzyme	Acetyltransferase	
RF0004	aminoglycoside	AAC6-I	AAC6-I	Aminoglycoside Acetyltransferase (AAC6-I)	AARO:3000104;ARO:3001207	Resfam	Aminoglycoside Modifying Enzyme	Acetyltransferase	
RF0005	aminoglycoside	AAC6-Ib	AAC6-Ib	Aminoglycoside Acetyltransferase (AAC6-Ib)	ARO:3000104;ARO:3001206	Resfam	Aminoglycoside Modifying Enzyme	Acetyltransferase	
RF0006	aminoglycoside	AAC6-II	AAC6-II	Aminoglycoside Acetyltransferase (AAC6-II)	ARO:3000104;ARO:3001208	Resfam	Aminoglycoside Modifying Enzyme	Acetyltransferase	
RF0026	aminoglycoside	ANT2	ANT2	Aminoglycoside Nucleotidyltransferase (ANT2)	ARO:3000230	Resfam	Aminoglycoside Modifying Enzyme	Nucleotidyltransferase	
RF0027	aminoglycoside	ANT3	ANT3	Aminoglycoside Nucleotidyltransferase (ANT3)	ARO:3000232	Resfam	Aminoglycoside Modifying Enzyme	Nucleotidyltransferase	
RF0028	aminoglycoside	ANT4	ANT4	Aminoglycoside Nucleotidyltransferase (ANT4)	ARO:3000229	Resfam	Aminoglycoside Modifying Enzyme	Nucleotidyltransferase	
RF0029	aminoglycoside	ANT6	ANT6	Aminoglycoside Nucleotidyltransferase (ANT6)	ARO:3000225	Resfam	Aminoglycoside Modifying Enzyme	Nucleotidyltransferase	
RF0030	aminoglycoside	ANT9	ANT9	Aminoglycoside Nucleotidyltransferase (ANT9)	ARO:3000228	Resfam	Aminoglycoside Modifying Enzyme	Nucleotidyltransferase	
RF0031	aminoglycoside	Antibiotic_NAT	Antibiotic_NAT	PF02522.9 Aminoglycoside 3-N-acetyltransferase	ARO:3000121	Pfam		Acetyltransferase	
RF0032	aminoglycoside	APH	APH	PF01636.18 Phosphotransferase enzyme family	ARO:3000000	Pfam		Acetyltransferase	
RF0033	aminoglycoside	APH3	APH3	aminoglycoside phosphotransferase (APH3)	ARO:3000126	Resfam	Aminoglycoside Modifying Enzyme	Phosphotransferase	
RF0034	aminoglycoside	APH6	APH6	aminoglycoside phosphotransferase (APH3)	ARO:3000151	Resfam	Aminoglycoside Modifying Enzyme	Phosphotransferase	
RF0166	aminoglycoside	ANT	ANT	Aminoglycoside Nucleotidyltransferase	ARO:3000218	Resfam	Aminoglycoside Modifying Enzyme	Nucleotidyltransferase	
RF0167	aminoglycoside	Aminoglyc_resit	Aminoglyc_resit	PF10706.4_Aminoglycoside-2''-adenylyltransferase	ARO:3000104	Pfam		Adenylyltransferase	
RF0172	aminoglycoside	APH3''	APH3''	Streptomycin phosphotransferase	ARO:3000128	Resfam	Aminoglycoside Modifying Enzyme	Phosphotransferase	
RF0173	aminoglycoside	APH3'	APH3'	Broad-spectrum Aminoglycoside Phosphotransferase	ARO:3000127	Resfam	Aminoglycoside Modifying Enzyme	Phosphotransferase	
RF0174	aminoglycoside	ArmA_Rmt	ArmA_Rmt	16S rRNA methyltransferase providing aminoglycoside resistance	ARO:3000857	Resfam	Aminoglycoside Resistance	rRNA Methyltransferase	
RF0011	aminoglycoside	Acetyltransf_1	Acetyltransf_1	PF00583.19 Acetyltransferase (GNAT) family	ARO:3000000	Pfam		Acetyltransferase	
RF0012	aminoglycoside	Acetyltransf_3	Acetyltransf_3	PF13302.1 Acetyltransferase (GNAT) domain	ARO:3000000	Pfam		Acetyltransferase	
RF0013	aminoglycoside	Acetyltransf_4	Acetyltransf_4	PF13420.1 Acetyltransferase (GNAT) domain	ARO:3000000	Pfam		Acetyltransferase	
RF0014	aminoglycoside	Acetyltransf_7	Acetyltransf_7	PF13508.1 Acetyltransferase (GNAT) domain	ARO:3000000	Pfam		Acetyltransferase	
RF0015	aminoglycoside	Acetyltransf_8	Acetyltransf_8	PF13523.1 Acetyltransferase (GNAT) domain	ARO:3000000	Pfam		Acetyltransferase	
RF0016	aminoglycoside	Acetyltransf_9	Acetyltransf_9	PF13527.1 Acetyltransferase (GNAT) domain	ARO:3000000	Pfam		Acetyltransferase	
RF0018	aminoglycoside	Acyltransferase	Acyltransferase	PF01553.16 Acyltransferase	ARO:3000000	Pfam		Acetyltransferase	
PF00753.25	beta-lactam	Lactamase_B	Lactamase_B	Metallo-beta-lactamase superfamily	PF00753.25	Pfam	Beta-Lactamase	Beta-Lactamase	
PF03717.13	beta-lactam	PBP_dimer	PBP_dimer	Penicillin-binding Protein dimerisation domain	PF03717.13	Pfam	Beta-Lactamase	Beta-Lactamase	
PF06832.10	beta-lactam	BiPBP_C	BiPBP_C	Penicillin-Binding Protein C-terminus Family	PF06832.10	Pfam		Beta-Lactamase	
